CPUNames,ReleaseDates
11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,Q3 2020
11th Gen Intel(R) Core(TM) i3-1125G4 @ 2.00GHz,Q1 2021
11th Gen Intel(R) Core(TM) i5-11300H @ 3.10GHz,Q1 2021
11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Q3 2020
11th Gen Intel(R) Core(TM) i5-11400 @ 2.60GHz,Q2 2021
11th Gen Intel(R) Core(TM) i5-11400H @ 2.70GHz,Q2 2021
11th Gen Intel(R) Core(TM) i5-11400T @ 1.30GHz,Q1 2021
11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,Q1 2021
11th Gen Intel(R) Core(TM) i5-11500 @ 2.70GHz,Q1 2021
11th Gen Intel(R) Core(TM) i5-1155G7 @ 2.50GHz,Q2 2021
11th Gen Intel(R) Core(TM) i5-11600 @ 2.80GHz,Q2 2021
11th Gen Intel(R) Core(TM) i5-11600K @ 3.90GHz,Q2 2021
11th Gen Intel(R) Core(TM) i7-11370H @ 3.30GHz,Q2 2021
11th Gen Intel(R) Core(TM) i7-11390H @ 3.40GHz,Q2 2021
11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,Q3 2020
11th Gen Intel(R) Core(TM) i7-11700 @ 2.50GHz,Q2 2021
11th Gen Intel(R) Core(TM) i7-11700K @ 3.60GHz,Q2 2021
11th Gen Intel(R) Core(TM) i7-11700T @ 1.40GHz,Q2 2021
11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,Q2 2021
11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,Q2 2021
11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz,Q1 2021
11th Gen Intel(R) Core(TM) i9-11950H @ 2.60GHz,Q2 2021
12th Gen Intel(R) Core(TM) i3-12100,Q1 2022
12th Gen Intel(R) Core(TM) i3-1215U,Q1 2022
12th Gen Intel(R) Core(TM) i5-1230U,Q1 2022
12th Gen Intel(R) Core(TM) i5-1235U,Q1 2022
12th Gen Intel(R) Core(TM) i5-12400,Q1 2022
12th Gen Intel(R) Core(TM) i5-1240P,Q1 2022
12th Gen Intel(R) Core(TM) i5-1245U,Q1 2022
12th Gen Intel(R) Core(TM) i5-12500,Q1 2022
12th Gen Intel(R) Core(TM) i5-12500T,Q1 2022
12th Gen Intel(R) Core(TM) i5-12600H,Q1 2022
12th Gen Intel(R) Core(TM) i7-1255U,Q1 2022
12th Gen Intel(R) Core(TM) i7-1260P,Q1 2022
12th Gen Intel(R) Core(TM) i7-12650H,Q1 2022
12th Gen Intel(R) Core(TM) i7-1265U,Q1 2022
12th Gen Intel(R) Core(TM) i7-12700,Q1 2022
12th Gen Intel(R) Core(TM) i7-12700F,Q1 2022
12th Gen Intel(R) Core(TM) i7-12700H,Q1 2022
12th Gen Intel(R) Core(TM) i7-12700K,Q4 2021
12th Gen Intel(R) Core(TM) i7-12800HX,Q2 2022
12th Gen Intel(R) Core(TM) i7-1280P,Q1 2022
12th Gen Intel(R) Core(TM) i9-12900HX,Q2 2022
12th Gen Intel(R) Core(TM) i9-12900K,Q4 2021
13th Gen Intel(R) Core(TM) i5-1335U,Q1 2023
13th Gen Intel(R) Core(TM) i5-13400,Q1 2023
13th Gen Intel(R) Core(TM) i5-13600K,Q4 2023
13th Gen Intel(R) Core(TM) i7-1355U,Q1 2023
13th Gen Intel(R) Core(TM) i7-1360P,Q1 2023
13th Gen Intel(R) Core(TM) i7-13700,Q1 2023
13th Gen Intel(R) Core(TM) i7-13700H,Q1 2023
13th Gen Intel(R) Core(TM) i7-13700HX,Q1 2023
13th Gen Intel(R) Core(TM) i7-1370P,Q1 2023
13th Gen Intel(R) Core(TM) i9-13900HX,Q1 2023
13th Gen Intel(R) Core(TM) i9-13950HX,Q1 2023
AMD A10-6700 APU with Radeon(tm) HD Graphics,Q2 2013
"AMD A12-9720P RADEON R7, 12 COMPUTE CORES 4C+8G",Q2 2016
"AMD A12-9800 RADEON R7, 12 COMPUTE CORES 4C+8G",Q3 2017
AMD A4-3400 APU with Radeon(tm) HD Graphics,Q3 2011
AMD A4-5000 APU with Radeon(TM) HD Graphics,Q2 2013
AMD A4-5300 APU with Radeon(tm) HD Graphics,Q4 2012
AMD A6-3410MX APU with Radeon(tm) HD Graphics,Q2 2011
AMD A6-5200 APU with Radeon(TM) HD Graphics,Q2 2013
AMD A6-7310 APU with AMD Radeon R4 Graphics,Q2 2015
"AMD A6-9220e RADEON R4, 5 COMPUTE CORES 2C+3G",Q2 2017
AMD A8-3820 APU with Radeon(tm) HD Graphics,Q4 2011
